ROI Type,ROI No,Gain (dB),Exposure,Mean,Std,SNR (dB)
grayscale,0,0.0,4.0,12110.800500625783,229.00103721119856,34.46670801467394
grayscale,1,0.0,4.0,16938.659324155193,276.4000728116997,35.74681760654207
grayscale,2,0.0,4.0,24065.868335419273,336.298183440279,37.09354029843383
grayscale,3,0.0,4.0,33201.571964956194,394.0553955581126,38.51202735862576
grayscale,4,0.0,4.0,45641.01326658323,467.92611121516416,39.78355994325823
grayscale,5,0.0,4.0,60672.486608260326,524.9882625781323,41.256844014123416
grayscale,6,0.0,4.0,65407.31914893617,4.842862443411671,82.61048431064472
grayscale,7,0.0,4.0,65408.0,0.0,nan
grayscale,8,0.0,4.0,65405.66908635795,4.514141318102453,83.22080483877474
grayscale,9,0.0,4.0,65407.00475594493,2.4828422487222284,88.41350269369372
grayscale,10,0.0,4.0,65405.280600750935,4.738530055181123,82.79938347251714
grayscale,0,0.0,2.0,7278.984730913642,165.28537827145485,32.87672744634819
grayscale,1,0.0,2.0,9682.0225281602,201.76518651172242,33.62239711230921
grayscale,2,0.0,2.0,13221.925406758448,245.05506847080116,34.640620265068016
grayscale,3,0.0,2.0,17795.812765957446,292.31765052937493,35.68925576708169
grayscale,4,0.0,2.0,24073.321652065082,346.4749319909344,36.837284008865254
grayscale,5,0.0,2.0,31789.46282853567,402.08626201678203,37.9592790887961
grayscale,6,0.0,2.0,39259.5183979975,451.1980827056966,38.791554444629206
grayscale,7,0.0,2.0,47877.44680851064,495.86643443673546,39.69532541752845
grayscale,8,0.0,2.0,57004.6197747184,534.7244389234304,40.55560039581473
grayscale,9,0.0,2.0,63965.598998748435,472.98135015769515,42.62204908945015
grayscale,10,0.0,2.0,65402.60325406759,32.797667733559216,65.99504146623087
grayscale,0,0.0,1.0,4870.000227557174,119.17904793177077,32.22658139579598
grayscale,1,0.0,1.0,6066.978268289908,144.33238313289021,32.472173136356965
grayscale,2,0.0,1.0,7827.1639549436795,174.02329451719882,33.05994089626722
grayscale,3,0.0,1.0,10092.207987256797,206.18307074580753,33.79466377535331
grayscale,4,0.0,1.0,13209.602912731823,244.924473848418,34.63715157879032
grayscale,5,0.0,1.0,17058.548640345885,287.5792405382128,35.4636909140782
grayscale,6,0.0,1.0,20814.623734213223,323.17327716971647,36.178662445696894
grayscale,7,0.0,1.0,25166.998748435544,354.4054218152277,37.026621405347946
grayscale,8,0.0,1.0,29826.546819888496,391.6732428538589,37.63358143825505
grayscale,9,0.0,1.0,33583.20992149277,420.37711950049135,38.04966268297988
