ROI Type,ROI No,Gain (dB),Exposure,Mean,Std,SNR (dB)
grayscale,0,0.0,4.0,12110.800500625783,598.9761301632824,26.115266689709134
grayscale,1,0.0,4.0,16938.659324155193,516.8445948775236,30.310381092422006
grayscale,2,0.0,4.0,24065.868335419273,918.0142566460307,28.371042211009243
grayscale,3,0.0,4.0,33201.571964956194,1033.3539429834136,30.13819090772528
grayscale,4,0.0,4.0,45641.01326658323,1425.0715711158934,30.110372022947324
grayscale,5,0.0,4.0,60672.486608260326,1143.76761755266,34.4930799576506
grayscale,6,0.0,4.0,65407.31914893617,26.67572893886164,67.79020106610002
grayscale,7,0.0,4.0,65408.0,0.0,nan
grayscale,8,0.0,4.0,65405.66908635795,79.90551136482635,58.26077315186528
grayscale,9,0.0,4.0,65407.00475594493,56.3102680269402,61.30073334046958
grayscale,10,0.0,4.0,65405.280600750935,111.48319038677116,55.368068489976075
grayscale,0,0.0,2.0,7278.984730913642,323.38751811988834,27.046951101153947
grayscale,1,0.0,2.0,9682.0225281602,299.16568925957085,30.201086103569207
grayscale,2,0.0,2.0,13221.925406758448,491.05442417534664,28.60330149023078
grayscale,3,0.0,2.0,17795.812765957446,563.9806820711333,29.9810719871124
grayscale,4,0.0,2.0,24073.321652065082,762.7652213478906,29.98290271357273
grayscale,5,0.0,2.0,31789.46282853567,657.6819266966279,33.68534563772892
grayscale,6,0.0,2.0,39259.5183979975,659.4597768978176,35.49513312842433
grayscale,7,0.0,2.0,47877.44680851064,782.5669422711527,35.732189685255406
grayscale,8,0.0,2.0,57004.6197747184,1505.3894084083806,31.565223942651922
grayscale,9,0.0,2.0,63965.598998748435,1301.751456487406,33.828367977563914
grayscale,10,0.0,2.0,65402.60325406759,122.85204646677899,54.52425279548795
grayscale,0,0.0,1.0,4870.000227557174,183.9368828705634,28.457203183390305
grayscale,1,0.0,1.0,6066.978268289908,184.99879574175864,30.316070759332177
grayscale,2,0.0,1.0,7827.1639549436795,277.18106067344297,29.016817574401664
grayscale,3,0.0,1.0,10092.207987256797,320.97642938627195,29.950261012555472
grayscale,4,0.0,1.0,13209.602912731823,417.66180552451334,30.001300022530163
grayscale,5,0.0,1.0,17058.548640345885,388.56035934788036,32.84967172106298
grayscale,6,0.0,1.0,20814.623734213223,404.1013978888805,34.23756423552483
grayscale,7,0.0,1.0,25166.998748435544,469.17475172933564,34.58993589325243
grayscale,8,0.0,1.0,29826.546819888496,821.1997982566035,31.203082833066
grayscale,9,0.0,1.0,33583.20992149277,909.0701793212997,31.35049585051653
grayscale,10,0.0,1.0,37154.71976334054,1261.065069106036,29.385529878235573
grayscale,0,0.0,0.5,3688.7068836045055,112.73620427736958,30.296214754686712
grayscale,1,0.0,0.5,4283.392240300375,120.56894366952176,31.01104779207366
grayscale,2,0.0,0.5,5157.685106382979,167.08644863544276,29.79027190332515
grayscale,3,0.0,0.5,6283.510387984981,193.8666782634416,30.213983365779434
grayscale,4,0.0,0.5,7828.0730913642055,246.54480138139323,30.035180451477416
grayscale,5,0.0,0.5,9733.146433041302,242.84111285320373,32.058620857376596
grayscale,6,0.0,0.5,11591.821777221527,259.975299252876,32.984392170104336
grayscale,7,0.0,0.5,13761.896370463079,295.82861505642194,33.35276205727552
grayscale,8,0.0,0.5,16088.050062578222,455.79358731740695,30.954703966821665
grayscale,9,0.0,0.5,17966.944680851066,499.40289321930425,31.120463531870616
grayscale,10,0.0,0.5,19762.360951188984,668.9164614640742,29.409338870707078
grayscale,0,0.0,0.25,3103.39324155194,76.15879796527037,32.20233458326352
grayscale,1,0.0,0.25,3402.1446808510636,85.08456571417923,32.03803984295489
grayscale,2,0.0,0.25,3835.542428035044,107.15048493889478,31.07665300579711
grayscale,3,0.0,0.25,4395.64055068836,125.1521545357022,30.911676813099085
grayscale,4,0.0,0.25,5164.565707133917,153.26102424429325,30.55204167127622
grayscale,5,0.0,0.25,6107.8067584480605,162.1011680718041,31.521982877779827
grayscale,6,0.0,0.25,7029.012265331665,174.85428827286148,32.08436026731675
grayscale,7,0.0,0.25,8096.244305381727,197.4260512105928,32.25758290935662
grayscale,8,0.0,0.25,9241.682102628285,265.9571818842824,30.81878606039288
grayscale,9,0.0,0.25,10178.681351689613,291.7634568166346,30.853212458534088
grayscale,10,0.0,0.25,11070.534167709637,370.68707984023064,29.503222550760707
grayscale,0,0.0,0.125,2797.1284105131413,56.686691626970116,33.86462586323327
grayscale,1,0.0,0.125,2949.3266583229038,60.589595241564155,33.74649650113505
grayscale,2,0.0,0.125,3164.4515644555695,74.4695675430111,32.56639241714155
grayscale,3,0.0,0.125,3444.0450563204004,86.33450660804549,32.01768826037646
grayscale,4,0.0,0.125,3828.3674593241553,102.35966988982027,31.45769479008562
grayscale,5,0.0,0.125,4297.908385481853,112.21518135229742,31.66411076268369
grayscale,6,0.0,0.125,4757.102377972466,123.17897794515032,31.7361180343035
grayscale,7,0.0,0.125,5291.264080100125,134.96826901507163,31.86655518210248
grayscale,8,0.0,0.125,5863.555444305382,169.0252837609204,30.80418724762213
grayscale,9,0.0,0.125,6327.275093867334,182.1018135716736,30.818048917791717
grayscale,10,0.0,0.125,6768.774968710889,216.03617222320395,29.919672044997544
grayscale,0,0.0,0.0625,2650.020525657071,42.34794286095517,35.92833838680173
grayscale,1,0.0,0.0625,2722.539173967459,46.0182545791522,35.440879901815954
grayscale,2,0.0,0.0625,2830.7424280350438,57.437969933656596,33.85402544659635
grayscale,3,0.0,0.0625,2970.2788485607007,61.367228726966964,33.69721422257069
grayscale,4,0.0,0.0625,3164.7899874843556,72.92695404071743,32.74913642564767
grayscale,5,0.0,0.0625,3395.5264080100123,81.51435289658454,32.39346054418852
grayscale,6,0.0,0.0625,3624.2423028785984,88.93406516986573,32.20298161783621
grayscale,7,0.0,0.0625,3893.681101376721,97.40756501905878,32.03535384379984
grayscale,8,0.0,0.0625,4179.854818523154,114.41784499260504,31.253348672970983
grayscale,9,0.0,0.0625,4412.918147684606,122.84847065389425,31.10712235561921
grayscale,10,0.0,0.0625,4635.368210262828,138.79053229775874,30.474487932278723
grayscale,0,6.0,4.0,11920.089202412106,637.8150146814971,25.431695334619334
grayscale,1,6.0,4.0,16721.753100466492,592.1715528897723,29.016685321397876
grayscale,2,6.0,4.0,23790.483558994198,984.4756134984422,27.66396613612494
grayscale,3,6.0,4.0,32897.12868358175,1115.986140308704,29.38998385248756
grayscale,4,6.0,4.0,45412.95528501536,1510.7866621531582,29.55953245690996
grayscale,5,6.0,4.0,60857.633860507456,1299.322633411775,33.411961187142474
grayscale,6,6.0,4.0,65408.0,0.0,nan
grayscale,7,6.0,4.0,65408.0,0.0,nan
grayscale,8,6.0,4.0,65408.0,0.0,nan
grayscale,9,6.0,4.0,65408.0,0.0,nan
grayscale,10,6.0,4.0,65408.0,0.0,nan
grayscale,0,6.0,2.0,7159.549436795995,359.9634041287366,25.972546840210388
grayscale,1,6.0,2.0,9537.321652065082,359.5597132654443,28.473108086160984
grayscale,2,6.0,2.0,13038.810513141427,554.4264701275406,27.42788034487273
grayscale,3,6.0,2.0,17571.926908635796,633.554090149975,28.860713782209267
grayscale,4,6.0,2.0,23780.041051314143,829.4324167672593,29.148631901607125
grayscale,5,6.0,2.0,31463.529411764706,767.4646149775132,32.25498154019901
grayscale,6,6.0,2.0,38963.25807259074,798.099864976109,33.771960554102066
grayscale,7,6.0,2.0,47669.19649561952,936.2977555492392,34.13647698550114
grayscale,8,6.0,2.0,56994.14468085107,1642.927790485496,30.804235293260454
grayscale,9,6.0,2.0,64138.435043804755,1313.2443494548857,33.77545636517042
grayscale,10,6.0,2.0,65405.947434292866,41.68160187923924,63.91345679733389
grayscale,0,6.0,1.0,4822.571851177609,220.88698661857222,26.782171527564422
grayscale,1,6.0,1.0,6012.4774149505065,235.09316178252362,28.156269222956546
grayscale,2,6.0,1.0,7762.264648993059,331.69143651861754,27.385083728129604
grayscale,3,6.0,1.0,10013.269313915122,380.7049433626793,28.39974761833496
grayscale,4,6.0,1.0,13100.062350665605,484.9601398265613,28.63134636947652
grayscale,5,6.0,1.0,16940.82876322676,485.38425873846666,30.856979296567552
grayscale,6,6.0,1.0,20689.272499715553,518.7082839179628,32.016440718228615
grayscale,7,6.0,1.0,25041.277961087722,598.4447136659481,32.432649079101424
